id,housing,loan,default
19441,yes,yes,no
19442,yes,yes,no
19443,yes,no,no
19444,no,no,no
19445,no,no,no
19446,yes,yes,no
19447,no,no,no
19448,yes,yes,
19449,no,no,
19450,yes,yes,no
19451,no,no,no
19452,yes,no,
19453,yes,no,no
19454,yes,no,no
19455,no,no,no
19456,no,no,no
19457,yes,no,no
19458,no,no,no
19459,yes,no,no
19460,yes,no,no
19461,yes,no,no
19462,no,yes,no
19463,yes,no,no
19464,yes,no,
19465,yes,no,no
19466,yes,no,
19467,yes,no,
19468,no,no,
19469,yes,yes,no
19470,no,no,no
19471,no,no,no
19472,no,no,
19473,no,no,no
19474,no,no,no
19475,yes,no,no
19476,no,no,no
19477,no,yes,
19478,no,no,no
19479,no,no,no
19480,no,no,
19481,yes,no,no
19482,yes,no,
19483,no,no,no
19484,no,no,no
19485,yes,no,
19486,yes,no,no
19487,yes,no,no
19488,no,no,
19489,yes,yes,no
19490,no,yes,no
19491,yes,no,
19492,no,no,no
19493,no,yes,
19494,no,yes,
19495,yes,yes,no
19496,yes,no,
19497,no,no,no
19498,yes,no,no
19499,yes,no,no
19500,yes,no,no
19501,yes,no,
19502,yes,yes,no
19503,yes,yes,no
19504,yes,yes,no
19505,no,no,no
19506,yes,no,no
19507,no,no,no
19508,yes,no,no
19509,yes,no,
19510,yes,no,no
19511,no,no,no
19512,yes,yes,
19513,yes,no,
19514,yes,no,no
19515,yes,yes,no
19516,no,no,no
19517,yes,yes,no
19518,no,no,no
19519,yes,no,
19520,no,yes,no
19521,no,yes,no
19522,yes,yes,no
19523,yes,no,no
19524,yes,no,no
19525,yes,no,no
19526,no,no,no
19527,no,no,no
19528,yes,yes,no
19529,yes,yes,no
19530,no,yes,no
19531,yes,no,
19532,no,no,no
19533,yes,no,no
19534,no,no,no
19535,yes,no,no
19536,no,yes,
19537,yes,no,
19538,no,no,no
19539,yes,yes,
19540,no,no,no
19541,no,no,no
19542,yes,no,no
19543,no,no,no
19544,no,no,
19545,yes,no,
19546,yes,no,no
19547,no,yes,no
19548,,,no
19549,no,no,no
19550,yes,no,no
19551,no,yes,
19552,yes,no,no
19553,yes,no,no
19554,no,no,
19555,yes,no,
19556,yes,no,no
19557,yes,no,no
19558,yes,yes,
19559,yes,no,no
19560,yes,no,no
19561,no,no,no
19562,no,no,no
19563,no,no,no
19564,yes,no,no
19565,yes,no,no
19566,yes,no,
19567,yes,yes,no
19568,yes,no,
19569,yes,no,
19570,yes,no,
19571,no,no,
19572,no,no,
19573,no,no,
19574,no,no,
19575,no,no,no
19576,no,no,
19577,yes,no,
19578,,,no
19579,yes,no,no
19580,no,no,no
19581,no,no,no
19582,no,no,no
19583,yes,no,no
19584,no,yes,no
19585,yes,no,
19586,yes,yes,
19587,yes,no,
19588,yes,no,no
19589,yes,no,
19590,yes,no,no
19591,no,no,no
19592,no,yes,
19593,yes,yes,no
19594,no,no,no
19595,yes,yes,no
19596,yes,no,no
19597,yes,no,no
19598,yes,no,no
19599,yes,no,no
19600,no,no,no
19601,yes,no,
19602,yes,no,no
19603,no,no,no
19604,yes,no,no
19605,no,no,no
19606,yes,yes,no
19607,no,no,no
19608,no,no,no
19609,yes,no,no
19610,no,no,no
19611,yes,no,no
19612,no,yes,no
19613,no,no,no
19614,no,yes,
19615,no,yes,
19616,no,no,
19617,yes,yes,
19618,no,no,no
19619,no,no,no
19620,yes,no,no
19621,no,no,no
19622,no,yes,no
19623,no,no,no
19624,no,no,no
19625,no,no,no
19626,no,no,
19627,no,no,
19628,no,no,no
19629,yes,no,
19630,no,no,
19631,no,no,no
19632,yes,yes,no
19633,no,no,no
19634,yes,no,
19635,no,no,
19636,no,no,no
19637,yes,no,no
19638,no,no,no
19639,no,no,no
19640,yes,yes,no
19641,yes,no,no
19642,no,no,
19643,yes,no,
19644,yes,no,no
19645,yes,no,
19646,no,no,no
19647,yes,no,no
19648,yes,no,no
19649,no,no,no
19650,yes,no,no
19651,yes,no,
19652,yes,no,
19653,yes,no,
19654,yes,no,no
19655,no,no,
19656,yes,no,
19657,no,no,
19658,yes,no,
19659,no,no,no
19660,yes,no,no
19661,yes,no,no
19662,no,yes,
19663,yes,yes,no
19664,yes,no,no
19665,yes,no,no
19666,yes,no,no
19667,yes,no,no
19668,no,no,no
19669,no,no,no
19670,no,no,
19671,no,no,no
19672,yes,no,no
19673,no,no,no
19674,no,no,no
19675,no,no,no
19676,no,no,no
19677,yes,no,no
19678,yes,no,
19679,,,
19680,yes,no,no
19681,no,no,no
19682,yes,no,no
19683,yes,no,no
19684,yes,no,no
19685,yes,no,no
19686,no,no,no
19687,yes,no,no
19688,yes,no,
19689,yes,no,no
19690,no,no,no
19691,no,no,
19692,yes,no,no
19693,yes,no,no
19694,no,yes,
19695,yes,no,no
19696,yes,no,no
19697,yes,no,no
19698,yes,no,
19699,no,no,no
19700,yes,no,no
19701,yes,no,
19702,yes,no,
19703,no,no,no
19704,no,no,no
19705,no,no,
19706,no,yes,no
19707,yes,yes,
19708,no,yes,
19709,yes,no,
19710,yes,no,
19711,no,no,no
19712,no,yes,
19713,yes,no,no
19714,yes,no,no
19715,no,no,
19716,yes,no,no
19717,no,yes,no
19718,yes,no,no
19719,yes,yes,
19720,no,no,no
19721,no,no,no
19722,yes,yes,no
19723,yes,yes,no
19724,yes,no,no
19725,yes,no,no
19726,no,no,no
19727,yes,no,no
19728,yes,no,no
19729,no,no,no
19730,no,no,no
19731,yes,no,no
19732,no,no,no
19733,no,no,no
19734,no,yes,no
19735,yes,no,no
19736,yes,no,no
19737,yes,no,
19738,yes,no,no
19739,no,no,no
19740,yes,no,
19741,no,no,no
19742,no,no,no
19743,no,no,no
19744,yes,no,
19745,no,no,
19746,no,no,
19747,yes,no,no
19748,yes,yes,
19749,no,no,no
19750,yes,no,no
19751,no,no,no
19752,yes,yes,no
19753,yes,no,
19754,no,no,no
19755,no,yes,no
19756,no,no,no
19757,yes,no,
19758,yes,no,no
19759,no,no,no
19760,yes,no,no
19761,no,no,no
19762,yes,no,no
19763,no,no,no
19764,yes,no,
19765,no,yes,no
19766,no,no,
19767,yes,no,no
19768,yes,no,
19769,yes,no,no
19770,no,no,
19771,yes,no,no
19772,yes,no,no
19773,yes,no,no
19774,no,no,
19775,yes,no,no
19776,yes,no,no
19777,no,no,no
19778,no,no,no
19779,no,no,no
19780,yes,no,
19781,yes,no,
19782,yes,no,no
19783,yes,no,no
19784,yes,yes,no
19785,no,no,no
19786,yes,no,no
19787,yes,no,no
19788,yes,no,no
19789,yes,no,no
19790,yes,yes,no
19791,no,no,
19792,yes,no,no
19793,no,no,no
19794,no,no,no
19795,no,no,
19796,no,no,no
19797,no,no,no
19798,no,no,no
19799,yes,no,no
19800,no,no,
19801,no,no,no
19802,no,no,
19803,no,no,
19804,no,no,no
19805,yes,yes,no
19806,no,no,no
19807,yes,no,no
19808,no,no,no
19809,no,no,
19810,yes,no,no
19811,yes,no,
19812,no,yes,
19813,yes,no,no
19814,no,no,no
19815,no,no,no
19816,no,no,no
19817,yes,no,
19818,no,no,
19819,no,no,no
19820,yes,no,no
19821,no,no,no
19822,yes,no,no
19823,yes,no,no
19824,no,no,no
19825,yes,no,no
19826,no,no,
19827,no,no,
19828,no,no,no
19829,no,no,no
19830,no,no,no
19831,yes,no,no
19832,yes,no,
19833,yes,no,no
19834,no,no,
19835,yes,no,
19836,yes,no,no
19837,yes,no,
19838,yes,yes,
19839,no,no,
19840,no,no,no
19841,no,no,no
19842,no,no,
19843,no,no,no
19844,,,no
19845,yes,no,no
19846,no,yes,
19847,no,no,no
19848,yes,no,no
19849,yes,no,no
19850,,,no
19851,no,no,no
19852,yes,yes,
19853,yes,yes,
19854,no,no,
19855,yes,no,
19856,yes,no,
19857,yes,no,
19858,no,no,no
19859,,,
19860,,,no
19861,no,no,no
19862,no,no,no
19863,no,no,no
19864,yes,yes,no
19865,yes,no,no
19866,yes,no,no
19867,no,no,
19868,no,no,
19869,no,no,
19870,no,no,no
19871,no,no,no
19872,no,no,no
19873,no,no,no
19874,no,no,no
19875,yes,no,no
19876,yes,no,no
19877,yes,no,no
19878,yes,no,no
19879,yes,no,no
19880,,,no
19881,yes,no,no
19882,yes,no,no
19883,yes,no,no
19884,no,yes,no
19885,yes,no,no
19886,yes,no,no
19887,yes,no,no
19888,yes,no,no
19889,no,no,no
19890,no,no,
19891,no,no,
19892,yes,no,
19893,no,no,no
19894,yes,no,no
19895,yes,no,no
19896,no,yes,no
19897,yes,no,
19898,yes,no,
19899,yes,no,no
19900,,,
19901,no,yes,no
19902,yes,no,no
19903,yes,no,
19904,yes,no,no
19905,no,yes,no
19906,yes,no,
19907,no,no,
19908,yes,yes,no
19909,yes,no,no
19910,yes,no,no
19911,yes,no,no
19912,yes,no,
19913,yes,no,no
19914,yes,no,
19915,no,no,
19916,no,no,no
19917,no,yes,no
19918,no,no,
19919,no,yes,no
19920,yes,no,no
19921,yes,no,no
19922,no,no,no
19923,no,no,no
19924,yes,no,no
19925,yes,no,
19926,no,no,
19927,no,no,no
19928,no,no,
19929,no,no,
19930,no,no,
19931,no,no,
19932,no,no,no
19933,no,no,no
19934,no,no,no
19935,yes,no,no
19936,no,no,no
19937,yes,no,no
19938,no,no,no
19939,no,no,
19940,no,no,no
19941,yes,no,no
19942,yes,no,
19943,no,no,
19944,no,no,no
19945,yes,no,no
19946,no,yes,no
19947,no,no,no
19948,yes,no,no
19949,yes,no,no
19950,yes,no,no
19951,no,no,
19952,yes,no,no
19953,yes,no,no
19954,yes,no,
19955,no,no,no
19956,yes,no,no
19957,no,no,no
19958,yes,no,no
19959,yes,yes,no
19960,yes,yes,no
19961,yes,no,
19962,no,no,no
19963,yes,no,no
19964,no,no,no
19965,yes,no,no
19966,no,no,no
19967,no,no,
19968,no,no,no
19969,no,no,
19970,yes,no,no
19971,no,no,no
19972,yes,no,no
19973,no,no,no
19974,yes,no,no
19975,yes,no,no
19976,yes,no,no
19977,yes,no,no
19978,yes,no,no
19979,yes,no,no
19980,no,no,no
19981,yes,no,no
19982,yes,no,
19983,yes,no,no
19984,yes,yes,no
19985,yes,no,no
19986,no,no,
19987,yes,no,
19988,no,no,no
19989,no,yes,
19990,,,no
19991,no,yes,no
19992,,,no
19993,yes,no,no
19994,yes,no,
19995,yes,no,no
19996,yes,yes,no
19997,yes,no,
19998,no,no,no
19999,no,no,no
20000,no,no,no
20001,yes,no,no
20002,no,no,no
20003,,,no
20004,no,no,no
20005,no,no,no
20006,yes,no,
20007,yes,no,no
20008,yes,no,no
20009,yes,no,no
20010,yes,no,no
20011,yes,no,no
20012,yes,no,no
20013,yes,no,no
20014,yes,no,no
20015,no,yes,no
20016,yes,no,no
20017,yes,yes,no
20018,no,no,
20019,no,no,no
20020,no,yes,no
20021,no,no,no
20022,yes,yes,no
20023,yes,no,
20024,yes,no,no
20025,yes,no,no
20026,no,no,
20027,no,no,no
20028,yes,no,no
20029,no,no,no
20030,yes,no,
20031,yes,no,no
20032,yes,no,no
20033,yes,no,no
20034,yes,no,no
20035,yes,yes,no
20036,no,no,no
20037,no,no,no
20038,no,no,no
20039,no,no,no
20040,yes,no,no
20041,yes,no,no
20042,yes,no,no
20043,yes,no,no
20044,yes,no,no
20045,no,no,no
20046,no,no,no
20047,no,no,no
20048,no,no,no
20049,yes,yes,
20050,no,no,no
20051,yes,no,no
20052,yes,no,no
20053,yes,no,no
20054,yes,no,no
20055,yes,yes,no
20056,yes,no,no
20057,yes,yes,no
20058,yes,yes,no
20059,yes,no,no
20060,yes,no,no
20061,no,no,no
20062,yes,no,no
20063,yes,no,no
20064,yes,no,
20065,yes,no,
20066,yes,no,
20067,yes,no,no
20068,yes,no,no
20069,,,no
20070,no,yes,
20071,yes,no,no
20072,no,no,no
20073,no,no,
20074,no,no,no
20075,no,no,no
20076,yes,yes,no
20077,yes,no,no
20078,yes,no,no
20079,no,yes,
20080,yes,no,
20081,no,no,no
20082,yes,no,no
20083,yes,yes,no
20084,no,no,no
20085,no,no,no
20086,no,yes,
20087,yes,no,no
20088,yes,no,no
20089,yes,no,no
20090,yes,yes,no
20091,no,no,no
20092,yes,no,no
20093,no,no,no
20094,yes,yes,
20095,no,no,no
20096,yes,no,no
20097,yes,no,no
20098,yes,no,no
20099,yes,yes,no
20100,yes,no,no
20101,no,no,no
20102,yes,no,no
20103,no,no,no
20104,no,no,
20105,yes,yes,
20106,yes,no,
20107,no,no,no
20108,no,no,no
20109,yes,no,
20110,no,no,
20111,yes,no,
20112,no,no,no
20113,no,no,
20114,yes,no,no
20115,yes,no,
20116,no,no,no
20117,no,no,
20118,no,no,no
20119,yes,no,
20120,yes,no,no
20121,yes,no,no
20122,yes,no,no
20123,yes,yes,no
20124,no,no,no
20125,yes,no,no
20126,yes,yes,
20127,no,no,
20128,no,no,no
20129,no,no,no
20130,no,no,no
20131,no,no,no
20132,yes,no,no
20133,no,yes,no
20134,yes,yes,no
20135,yes,no,no
20136,no,no,no
20137,no,no,no
20138,yes,no,no
20139,yes,no,no
20140,yes,no,no
20141,yes,no,no
20142,yes,no,no
20143,no,yes,
20144,no,no,
20145,no,no,no
20146,no,no,no
20147,no,no,no
20148,yes,no,no
20149,no,no,no
20150,no,yes,no
20151,yes,no,no
20152,no,yes,no
20153,yes,no,no
20154,no,no,no
20155,yes,no,no
20156,yes,no,no
20157,yes,no,no
20158,yes,yes,no
20159,,,no
20160,yes,no,no
20161,yes,no,no
20162,yes,no,no
20163,yes,no,no
20164,no,no,no
20165,yes,no,no
20166,yes,no,no
20167,yes,yes,no
20168,yes,no,no
20169,yes,yes,no
20170,yes,yes,no
20171,yes,no,no
20172,yes,no,no
20173,no,no,no
20174,no,no,no
20175,no,no,
20176,yes,no,
20177,no,no,
20178,yes,no,
20179,yes,no,
20180,yes,no,
20181,no,no,no
20182,no,no,no
20183,no,no,no
20184,no,no,no
20185,yes,yes,no
20186,yes,no,no
20187,yes,no,
20188,yes,no,no
20189,no,no,no
20190,no,no,
20191,no,no,no
20192,no,no,no
20193,no,no,no
20194,no,no,no
20195,yes,no,
20196,no,no,no
20197,no,yes,no
20198,no,no,no
20199,yes,no,
20200,no,no,no
20201,no,no,no
20202,yes,no,no
20203,yes,no,no
20204,yes,no,no
20205,yes,no,no
20206,yes,no,
20207,yes,no,no
20208,yes,no,no
20209,no,no,no
20210,no,no,no
20211,yes,no,
20212,no,no,no
20213,yes,no,no
20214,no,no,no
20215,yes,no,no
20216,yes,no,no
20217,no,no,
20218,yes,no,no
20219,no,no,no
20220,yes,no,no
20221,yes,no,no
20222,no,no,no
20223,yes,no,no
20224,yes,no,no
20225,no,no,no
20226,yes,no,
20227,yes,no,no
20228,yes,yes,no
20229,yes,no,no
20230,no,no,no
20231,no,no,
20232,no,no,
20233,yes,yes,no
20234,no,no,
20235,yes,no,
20236,yes,no,no
20237,no,no,no
20238,no,no,no
20239,no,no,no
20240,no,no,
20241,yes,no,no
20242,yes,no,no
20243,no,no,no
20244,yes,yes,no
20245,yes,no,no
20246,no,no,no
20247,no,no,no
20248,no,no,no
20249,yes,no,no
20250,yes,yes,no
20251,no,no,no
20252,no,yes,no
20253,no,no,
20254,no,no,no
20255,yes,no,no
20256,no,no,
20257,yes,yes,no
20258,no,no,
20259,yes,no,no
20260,yes,yes,no
20261,yes,no,no
20262,no,yes,no
20263,yes,yes,
20264,,,no
20265,no,no,no
20266,yes,yes,
20267,yes,no,no
20268,yes,no,no
20269,yes,yes,
20270,no,yes,no
20271,no,yes,no
20272,yes,no,no
20273,no,no,no
20274,no,no,
20275,yes,no,
20276,yes,no,no
20277,yes,no,no
20278,yes,no,no
20279,no,no,no
20280,no,no,
20281,yes,no,no
20282,yes,no,no
20283,yes,no,no
20284,yes,no,
20285,yes,yes,no
20286,no,yes,no
20287,no,no,no
20288,no,no,no
20289,no,no,no
20290,yes,no,no
20291,no,no,no
20292,yes,yes,
20293,no,no,no
20294,no,no,no
20295,no,no,no
20296,yes,yes,
20297,no,no,no
20298,no,no,
20299,no,yes,no
20300,no,no,no
20301,no,no,
20302,yes,no,no
20303,yes,no,no
20304,no,no,no
20305,yes,no,no
20306,yes,no,no
20307,no,no,no
20308,no,no,no
20309,no,no,
20310,yes,no,no
20311,no,no,no
20312,no,no,
20313,yes,no,no
20314,yes,no,no
20315,yes,no,no
20316,no,no,no
20317,,,no
20318,no,no,no
20319,yes,no,
20320,no,no,no
20321,yes,no,no
20322,yes,no,
20323,yes,no,no
20324,yes,no,no
20325,yes,yes,no
20326,yes,yes,no
20327,no,yes,
20328,,,no
20329,no,no,no
20330,yes,yes,no
20331,yes,no,no
20332,no,no,no
20333,yes,yes,no
20334,yes,no,no
20335,yes,no,
20336,yes,yes,
20337,yes,no,no
20338,no,no,no
20339,no,no,
20340,no,no,no
20341,no,no,no
20342,no,no,
20343,yes,no,no
20344,no,no,no
20345,no,no,
20346,no,no,no
20347,no,yes,no
20348,yes,yes,no
20349,yes,no,no
20350,no,no,
20351,yes,no,no
20352,yes,no,no
20353,no,yes,no
20354,yes,no,no
20355,yes,no,no
20356,yes,no,no
20357,no,no,no
20358,yes,no,no
20359,yes,no,no
20360,yes,no,no
20361,yes,no,no
20362,yes,no,no
20363,no,no,no
20364,no,no,no
20365,yes,yes,no
20366,yes,no,
20367,no,no,no
20368,no,no,no
20369,yes,yes,no
20370,,,no
20371,no,no,no
20372,yes,no,no
20373,yes,yes,no
20374,yes,yes,no
20375,no,no,no
20376,yes,no,no
20377,yes,no,no
20378,yes,yes,no
20379,yes,no,no
20380,,,no
20381,yes,no,no
20382,yes,no,
20383,no,no,no
20384,no,no,no
20385,no,no,no
20386,yes,no,no
20387,yes,no,no
20388,,,no
20389,yes,no,no
20390,yes,no,no
20391,no,no,no
20392,yes,no,no
20393,no,no,no
20394,no,no,no
20395,no,no,no
20396,yes,no,no
20397,no,no,
20398,no,no,no
20399,no,no,no
20400,no,no,no
20401,no,no,no
20402,yes,no,no
20403,yes,yes,
20404,yes,no,no
20405,no,no,no
20406,yes,no,no
20407,no,no,no
20408,yes,no,no
20409,yes,yes,no
20410,yes,no,no
20411,yes,no,no
20412,yes,no,no
20413,yes,yes,no
20414,yes,no,
20415,no,no,no
20416,yes,no,
20417,yes,no,no
20418,no,no,no
20419,yes,no,no
20420,yes,no,no
20421,yes,no,no
20422,yes,yes,no
20423,no,no,no
20424,yes,no,no
20425,no,yes,no
20426,no,no,
20427,yes,no,no
20428,no,no,no
20429,yes,no,no
20430,no,no,no
20431,yes,no,
20432,no,no,no
20433,yes,no,no
20434,no,yes,
20435,no,no,no
20436,yes,no,no
20437,yes,no,no
20438,yes,yes,no
20439,no,no,no
20440,,,
20441,no,no,no
20442,no,no,no
20443,no,yes,no
20444,no,no,no
20445,yes,no,no
20446,yes,no,no
20447,yes,no,no
20448,yes,no,no
20449,yes,no,no
20450,no,no,
20451,yes,no,no
20452,yes,no,no
20453,,,no
20454,yes,no,
20455,no,no,no
20456,no,no,
20457,no,no,no
20458,no,no,
20459,yes,yes,no
20460,no,no,no
20461,yes,no,no
20462,yes,no,no
20463,yes,no,no
20464,no,no,no
20465,no,no,no
20466,no,no,no
20467,no,yes,no
20468,yes,no,
20469,no,no,no
20470,yes,no,no
20471,yes,no,no
20472,yes,no,no
20473,yes,no,
20474,no,no,no
20475,no,no,no
20476,no,no,
20477,no,no,no
20478,no,no,no
20479,yes,no,
20480,yes,no,
20481,yes,yes,no
20482,yes,no,no
20483,yes,no,no
20484,yes,no,no
20485,yes,no,
20486,yes,no,
20487,yes,no,no
20488,no,no,no
20489,no,no,
20490,no,yes,no
20491,yes,no,no
20492,yes,yes,no
20493,no,yes,no
20494,no,no,
20495,yes,no,no
20496,no,no,
20497,no,no,no
20498,yes,yes,no
20499,no,yes,no
20500,no,no,no
20501,no,yes,no
20502,no,no,
20503,no,no,no
20504,yes,no,no
20505,no,no,
20506,no,no,no
20507,no,no,no
20508,no,no,no
20509,no,no,no
20510,no,no,no
20511,no,no,
20512,yes,no,no
20513,no,yes,
20514,,,no
20515,no,no,no
20516,yes,no,no
20517,no,no,no
20518,yes,no,no
20519,yes,yes,no
20520,yes,no,
20521,yes,no,
20522,yes,no,no
20523,yes,no,no
20524,no,no,no
20525,yes,no,no
20526,yes,no,no
20527,yes,yes,no
20528,no,no,no
20529,yes,no,no
20530,no,yes,no
20531,no,no,no
20532,yes,no,no
20533,yes,yes,no
20534,yes,no,no
20535,yes,no,no
20536,no,no,no
20537,yes,no,
20538,yes,no,
20539,yes,no,no
20540,yes,no,no
20541,no,no,no
20542,no,no,
20543,yes,no,
20544,yes,no,
20545,no,no,no
20546,yes,no,no
20547,no,no,no
20548,yes,no,
20549,yes,no,no
20550,no,no,no
20551,no,yes,no
20552,no,no,no
20553,no,no,no
20554,yes,no,
20555,no,no,no
20556,no,no,no
20557,no,no,
20558,no,no,no
20559,no,yes,no
20560,yes,no,no
20561,yes,no,no
20562,yes,no,no
20563,yes,no,no
20564,no,no,no
20565,yes,no,no
20566,yes,no,no
20567,yes,no,no
20568,no,no,no
20569,yes,no,no
20570,yes,no,no
20571,no,no,no
20572,no,yes,no
20573,yes,no,no
20574,yes,no,no
20575,yes,no,no
20576,yes,no,no
20577,yes,no,no
20578,no,no,no
20579,yes,no,no
20580,yes,no,no
20581,yes,no,no
20582,yes,no,
20583,yes,no,no
20584,yes,no,
20585,yes,no,no
20586,no,no,
20587,no,no,no
20588,yes,yes,no
20589,no,no,no
20590,no,no,
20591,no,no,no
20592,no,no,no
20593,no,yes,no
20594,yes,no,no
20595,yes,no,no
20596,no,no,
20597,yes,no,no
20598,yes,no,no
20599,yes,no,
20600,yes,no,no
20601,yes,no,no
20602,yes,yes,no
20603,no,no,no
20604,yes,no,no
20605,yes,no,no
20606,yes,no,
20607,yes,yes,no
20608,yes,yes,
20609,yes,no,
20610,no,no,no
20611,no,no,no
20612,yes,yes,
20613,yes,no,no
20614,yes,no,no
20615,yes,yes,no
20616,no,no,
20617,no,yes,no
20618,yes,no,no
20619,no,no,no
20620,no,yes,no
20621,yes,no,
20622,yes,no,no
20623,,,
20624,no,no,no
20625,no,no,
20626,no,no,no
20627,yes,no,
20628,no,yes,no
20629,no,no,no
20630,no,no,no
20631,no,no,no
20632,no,no,no
20633,no,no,no
20634,yes,no,
20635,yes,no,
20636,yes,no,no
20637,no,no,no
20638,yes,yes,no
20639,yes,no,no
20640,no,no,no
20641,no,no,no
20642,no,no,no
20643,no,yes,
20644,no,no,no
20645,no,no,no
20646,yes,yes,
20647,yes,yes,no
20648,no,yes,no
20649,no,no,no
20650,no,no,no
20651,no,no,no
20652,yes,yes,
20653,yes,yes,
20654,yes,yes,no
20655,yes,yes,
20656,yes,no,
20657,no,no,
20658,no,no,
20659,yes,yes,no
20660,yes,yes,no
20661,yes,yes,
20662,yes,no,no
20663,yes,no,no
20664,yes,yes,no
20665,no,no,
20666,yes,no,no
20667,no,no,no
20668,yes,yes,no
20669,no,yes,
20670,no,no,no
20671,yes,no,
20672,no,yes,
20673,no,no,no
20674,no,yes,
20675,no,no,
20676,yes,yes,
20677,yes,no,no
20678,yes,no,no
20679,yes,no,no
20680,yes,no,no
20681,yes,no,no
20682,,,
20683,yes,no,no
20684,yes,no,no
20685,yes,no,
20686,yes,no,no
20687,yes,no,no
20688,no,no,no
20689,no,yes,no
20690,no,no,
20691,no,no,no
20692,yes,no,
20693,no,no,no
20694,yes,no,
20695,yes,no,
20696,yes,no,no
20697,yes,no,no
20698,yes,no,
20699,yes,no,no
20700,yes,no,no
20701,no,no,no
20702,,,
20703,no,no,no
20704,no,no,no
20705,yes,no,
20706,yes,no,no
20707,yes,no,no
20708,yes,no,no
20709,no,yes,no
20710,yes,no,no
20711,no,no,no
20712,yes,no,no
20713,yes,no,no
20714,yes,no,
20715,yes,no,
20716,yes,no,
20717,no,no,no
20718,no,no,
20719,yes,no,no
20720,no,no,no
20721,yes,no,no
20722,yes,no,
20723,yes,no,
20724,yes,yes,no
20725,no,no,no
20726,yes,yes,no
20727,yes,no,no
20728,yes,no,no
20729,yes,no,
20730,yes,no,no
20731,yes,yes,no
20732,no,no,
20733,yes,no,
20734,yes,no,no
20735,yes,no,
20736,yes,no,no
20737,yes,no,no
20738,no,no,no
20739,yes,no,no
20740,yes,yes,no
20741,yes,no,no
20742,yes,no,no
20743,no,yes,no
20744,yes,yes,no
20745,yes,no,no
20746,no,no,
20747,yes,no,
20748,yes,no,
20749,yes,no,no
20750,no,no,no
20751,no,no,no
20752,yes,yes,no
20753,yes,yes,
20754,no,no,
20755,no,no,no
20756,no,no,no
20757,yes,no,no
20758,no,no,no
20759,yes,no,no
20760,yes,yes,no
20761,yes,no,no
20762,yes,no,no
20763,no,no,
20764,no,no,no
20765,no,no,
20766,no,no,no
20767,yes,no,no
20768,yes,no,no
20769,yes,no,no
20770,yes,no,no
20771,no,no,
20772,no,yes,
20773,no,no,no
20774,no,yes,no
20775,yes,yes,
20776,yes,no,no
20777,yes,no,no
20778,no,no,no
20779,yes,no,no
20780,yes,no,no
20781,no,no,no
20782,no,no,no
20783,yes,no,no
20784,yes,no,no
20785,yes,no,
20786,yes,yes,no
20787,yes,yes,
20788,yes,no,no
20789,no,no,no
20790,yes,no,no
20791,yes,no,no
20792,no,no,no
20793,yes,no,no
20794,no,no,no
20795,no,no,
20796,yes,no,
20797,no,no,
20798,yes,no,
20799,yes,no,no
20800,no,no,
20801,yes,no,
20802,no,no,no
20803,no,no,no
20804,no,no,no
20805,yes,yes,
20806,no,no,no
20807,yes,no,no
20808,no,no,
20809,yes,no,
20810,yes,no,no
20811,yes,no,
20812,no,no,
20813,yes,no,
20814,no,no,no
20815,yes,no,no
20816,yes,no,
20817,yes,no,
20818,yes,yes,no
20819,yes,no,no
20820,yes,no,no
20821,yes,no,no
20822,yes,no,no
20823,no,no,
20824,no,no,
20825,no,no,no
20826,yes,no,no
20827,no,yes,no
20828,yes,yes,no
20829,yes,no,no
20830,yes,no,no
20831,yes,no,no
20832,no,no,no
20833,no,no,no
20834,no,no,
20835,no,no,no
20836,yes,no,no
20837,no,yes,no
20838,no,no,no
20839,no,no,no
20840,no,no,no
20841,no,no,no
20842,yes,no,
20843,yes,no,no
20844,no,no,
20845,no,no,no
20846,no,no,no
20847,no,no,
20848,yes,no,
20849,yes,no,no
20850,yes,no,no
20851,yes,yes,no
20852,yes,no,no
20853,yes,no,no
20854,yes,no,no
20855,yes,no,no
20856,yes,no,no
20857,no,no,no
20858,yes,no,
20859,yes,no,no
20860,no,yes,
20861,yes,yes,
20862,yes,no,
20863,no,yes,no
20864,yes,no,no
20865,yes,no,no
20866,yes,no,no
20867,yes,yes,no
20868,yes,no,no
20869,yes,no,no
20870,yes,no,
20871,no,no,no
20872,no,no,no
20873,no,yes,no
20874,yes,no,no
20875,,,
20876,yes,no,no
20877,no,no,no
20878,yes,no,no
20879,no,no,no
20880,yes,no,no
20881,yes,no,no
20882,yes,no,no
20883,no,yes,
20884,yes,no,no
20885,yes,no,no
20886,no,no,no
20887,yes,no,
20888,yes,no,no
20889,yes,no,
20890,yes,no,no
20891,yes,no,
20892,no,yes,
20893,yes,no,
20894,,,no
20895,yes,no,no
20896,no,no,no
20897,yes,no,
20898,yes,no,
20899,yes,no,
20900,yes,no,no
20901,yes,no,
20902,no,no,
20903,no,no,no
20904,yes,no,
20905,no,no,
20906,yes,no,no
20907,yes,no,
20908,yes,no,no
20909,no,yes,
20910,yes,yes,no
20911,yes,yes,no
20912,yes,yes,
20913,yes,no,no
20914,yes,no,no
20915,yes,no,no
20916,yes,no,no
20917,yes,no,no
20918,yes,no,no
20919,yes,no,no
20920,yes,no,no
20921,no,no,no
20922,yes,no,no
20923,yes,yes,
20924,yes,no,
20925,yes,no,no
